INFO 2025-07-17 20:55:07,449 autoreload 16244 4180 Watching for file changes with StatReloader
INFO 2025-07-17 20:55:32,338 autoreload 4404 25316 Watching for file changes with StatReloader
INFO 2025-07-17 20:56:30,374 autoreload 24628 31584 Watching for file changes with StatReloader
INFO 2025-07-17 20:58:42,676 autoreload 31080 29964 Watching for file changes with StatReloader
INFO 2025-07-17 20:58:50,477 autoreload 10988 30028 Watching for file changes with StatReloader
INFO 2025-07-17 20:58:57,659 autoreload 25400 12208 Watching for file changes with StatReloader
INFO 2025-07-17 20:59:05,758 autoreload 31196 15048 Watching for file changes with StatReloader
INFO 2025-07-17 20:59:54,659 autoreload 25052 23572 Watching for file changes with StatReloader
INFO 2025-07-17 21:00:02,609 basehttp 25052 3740 "GET / HTTP/1.1" 302 0
INFO 2025-07-17 21:00:02,656 basehttp 25052 3740 "GET /dashboard/ HTTP/1.1" 302 0
INFO 2025-07-17 21:00:02,706 basehttp 25052 3740 "GET /accounts/login/?next=/dashboard/ HTTP/1.1" 200 5678
WARNING 2025-07-17 21:00:03,170 log 25052 3740 Not Found: /favicon.ico
WARNING 2025-07-17 21:00:03,170 basehttp 25052 3740 "GET /favicon.ico HTTP/1.1" 404 4208
INFO 2025-07-17 21:00:05,618 basehttp 25052 3740 "POST /accounts/login/?next=/dashboard/ HTTP/1.1" 302 0
INFO 2025-07-17 21:00:05,697 basehttp 25052 3740 "GET /dashboard/ HTTP/1.1" 200 80948
INFO 2025-07-17 21:00:05,741 basehttp 25052 3108 "GET /static/css/inventory-custom.css HTTP/1.1" 200 13537
INFO 2025-07-17 21:00:05,742 basehttp 25052 3740 "GET /static/js/tailwind.min.js HTTP/1.1" 200 291793
WARNING 2025-07-17 21:00:05,915 log 25052 30488 Not Found: /ws/notifications/
WARNING 2025-07-17 21:00:05,916 basehttp 25052 30488 "GET /ws/notifications/ HTTP/1.1" 404 4226
INFO 2025-07-17 21:00:05,930 basehttp 25052 3740 "GET /notifications/api/ HTTP/1.1" 200 40
WARNING 2025-07-17 21:00:05,940 log 25052 30308 Not Found: /ws/notifications/
WARNING 2025-07-17 21:00:05,941 basehttp 25052 30308 "GET /ws/notifications/ HTTP/1.1" 404 4226
INFO 2025-07-17 21:00:06,444 basehttp 25052 3740 "GET /dashboard/chart-data/?type=sales&period=7 HTTP/1.1" 200 142
INFO 2025-07-17 21:00:06,468 basehttp 25052 21204 "GET /dashboard/stats/ HTTP/1.1" 200 378
INFO 2025-07-17 21:00:06,480 basehttp 25052 3108 "GET /dashboard/recent-orders/ HTTP/1.1" 200 644
WARNING 2025-07-17 21:00:08,935 log 25052 24020 Not Found: /ws/notifications/
WARNING 2025-07-17 21:00:08,935 basehttp 25052 24020 "GET /ws/notifications/ HTTP/1.1" 404 4226
WARNING 2025-07-17 21:00:08,962 log 25052 23180 Not Found: /ws/notifications/
WARNING 2025-07-17 21:00:08,963 basehttp 25052 23180 "GET /ws/notifications/ HTTP/1.1" 404 4226
WARNING 2025-07-17 21:00:11,954 log 25052 23920 Not Found: /ws/notifications/
WARNING 2025-07-17 21:00:11,955 basehttp 25052 23920 "GET /ws/notifications/ HTTP/1.1" 404 4226
WARNING 2025-07-17 21:00:11,987 log 25052 30556 Not Found: /ws/notifications/
WARNING 2025-07-17 21:00:11,988 basehttp 25052 30556 "GET /ws/notifications/ HTTP/1.1" 404 4226
WARNING 2025-07-17 21:00:14,988 log 25052 2472 Not Found: /ws/notifications/
WARNING 2025-07-17 21:00:14,988 basehttp 25052 2472 "GET /ws/notifications/ HTTP/1.1" 404 4226
WARNING 2025-07-17 21:00:15,019 log 25052 1300 Not Found: /ws/notifications/
WARNING 2025-07-17 21:00:15,020 basehttp 25052 1300 "GET /ws/notifications/ HTTP/1.1" 404 4226
WARNING 2025-07-17 21:00:18,026 log 25052 7384 Not Found: /ws/notifications/
WARNING 2025-07-17 21:00:18,027 basehttp 25052 7384 "GET /ws/notifications/ HTTP/1.1" 404 4226
WARNING 2025-07-17 21:00:18,074 log 25052 22456 Not Found: /ws/notifications/
WARNING 2025-07-17 21:00:18,074 basehttp 25052 22456 "GET /ws/notifications/ HTTP/1.1" 404 4226
WARNING 2025-07-17 21:00:21,085 log 25052 25312 Not Found: /ws/notifications/
